,distances,distances,distances,distances,distances,distances,distances,distances
,count,mean,std,min,25%,50%,75%,max
race,,,,,,,,
P1_003N,30659.0,99028.8895651053,131505.92223792424,30.38912057202557,3663.950074188493,17043.254797330053,173622.81193217362,511610.2976501391
P1_004N,7048.0,51731.20202496841,109193.28448085944,16.45750254119472,1372.5881677866423,2712.3285918175748,15971.604193169454,514816.5787162345
P1_005N,388.0,28804.424768623012,70477.45240431,182.60344171411768,1784.8102602647573,3685.685517594483,18232.61745753821,437292.0849335533
P1_006N,2893.0,24932.226763832226,64744.80310011951,73.67781371690718,1957.1374930758168,4367.82291414203,10768.508089639867,466167.25252428587
P1_007N,16.0,49128.258522486256,109001.05745992438,1189.0375171535634,3175.342680216524,6808.411276091236,25389.55098160999,425076.4235408666
P1_008N,4443.0,22035.265348442063,58538.33431011703,7.125823282972577,1769.0191557220223,3386.2780671306155,14089.38309928881,465720.81748249446
P1_011N,436.0,113508.0220316328,136564.3460790456,140.31317047113183,2573.4694577049704,44744.91409794724,201330.15743331192,492212.52846511157
P1_012N,437.0,132136.41301050902,149537.93579254538,263.2347563786053,6519.250369119332,49614.86934014076,240447.62224917658,499602.198908152
P1_013N,398.0,44998.09305213143,90194.03379481044,208.02086258306628,2205.2099970085565,5910.093326722656,22836.697773618464,426361.74978068785
P1_014N,17.0,70784.90628286339,113028.78053157953,412.3865114318512,1683.4587946643394,6162.134067211851,141219.14010148603,333989.2464866042
P1_015N,2771.0,32327.690021262126,76634.86498854739,58.72703294515558,2031.6844990405536,4367.348205886265,18698.46946198625,456252.316921009
P1_016N,44.0,44902.24730198219,98350.69713753728,214.56463896678844,1038.7363680786484,2167.6144388180755,10774.34227127665,372134.9236699712
P1_017N,24.0,42531.673862778196,89105.65306204616,101.25365697263048,1536.606085823603,3387.3356648274885,30949.089356538556,373559.2393151786
P1_018N,4.0,136680.28456031976,204886.51954212994,1919.4634645177352,9729.710406790671,53592.18196307284,180542.75611660193,437617.3108506156
P1_019N,80.0,47886.4016373058,101443.70953605427,261.391068387153,1810.1832139618318,3465.130639809007,40188.511677162816,484725.0875903707
P1_020N,3.0,43185.54763906417,61270.21119666563,2236.180669848853,7966.208435090998,13696.236200333144,63660.23112367182,113624.22604701051
P1_022N,84.0,18241.552427683215,59363.37747541984,191.21459457975794,1691.1910780269077,2505.7795805809073,7713.125830614099,367595.8166058699
P1_023N,13.0,27602.34435655533,57426.52322388744,486.8739425496827,1992.7726192092812,4903.449198305814,20136.94866742883,208331.07740982133
P1_024N,29.0,22387.969974682706,56807.87031413353,740.568210866314,1379.6312619354374,2794.3293108731073,14468.774649149138,254491.591281611
P1_025N,6.0,39629.484058010574,82702.58241915582,893.290159989466,1561.2290799900002,3844.6102749676443,16406.435246544126,207800.58138607163
P1_027N,40.0,109697.07908095804,146741.79147761708,563.7215116548734,2559.0411850115993,19176.978968033836,182183.98710130187,465113.5974677848
P1_028N,6.0,114147.76774431158,155865.9746429561,2173.22403025585,15595.160744357028,26899.415909231648,189806.2739522634,372978.91496114415
P1_030N,30.0,19169.212705581955,42676.24916874197,261.42210538401474,2068.9473910954193,4705.295298535858,7967.33563148463,178223.7670306937
P1_031N,4.0,242532.51874710276,195449.3725214974,22316.346277844186,114441.63548832375,245428.12956345867,373519.0128222377,456957.46958364954
P1_032N,2.0,57307.39057004941,58412.300732013326,16003.656617734852,36655.523593892125,57307.39057004941,77959.25754620667,98611.12452236396
P1_033N,71.0,23438.673484145216,60564.72457208838,541.5146700475905,1721.9902391469093,3903.5842838233366,16877.974251902036,370930.4971430357
P1_034N,6.0,115009.03655656897,176121.56737040187,394.8772043485978,1115.1426199028149,2653.6576610907305,240715.7274696841,363679.97180082835
P1_035N,15.0,37985.72391800145,109042.00969598851,1085.029684099424,2367.346633308421,4588.271405775006,20753.452997478187,430611.00527077646
P1_038N,1.0,4958.999941272312,,4958.999941272312,4958.999941272312,4958.999941272312,4958.999941272312,4958.999941272312
P1_039N,4.0,8224.117376901628,12521.3384903827,1129.6761661124353,1924.2643920141115,2391.761856641572,8691.614841529088,26983.26962821093
P1_040N,1.0,25325.42677080954,,25325.42677080954,25325.42677080954,25325.42677080954,25325.42677080954,25325.42677080954
P1_045N,1.0,106235.89943438057,,106235.89943438057,106235.89943438057,106235.89943438057,106235.89943438057,106235.89943438057
P1_048N,4.0,39518.654223895275,75885.76188755782,529.3403055382241,1640.9413002956983,2101.731733024251,39979.44465662382,153341.81312399436
P1_050N,10.0,23635.547252944925,63633.55814440658,615.8678721068261,979.2522740452134,2357.2870778728784,3207.0092968706194,204134.57733515973
P1_052N,1.0,15758.97224168374,,15758.97224168374,15758.97224168374,15758.97224168374,15758.97224168374,15758.97224168374
P1_054N,1.0,144290.87552989833,,144290.87552989833,144290.87552989833,144290.87552989833,144290.87552989833,144290.87552989833
P1_055N,1.0,302530.60077490687,,302530.60077490687,302530.60077490687,302530.60077490687,302530.60077490687,302530.60077490687
P1_057N,2.0,198032.90937369879,277034.3695170667,2140.028066441147,100086.46872006997,198032.90937369879,295979.3500273276,393925.79068095644
P1_063N,4.0,191692.51517088758,224261.58357826265,196.57119851760814,1989.5311287531454,164859.37878985438,354562.36283198884,436854.731905324
P1_064N,1.0,375052.4514929805,,375052.4514929805,375052.4514929805,375052.4514929805,375052.4514929805,375052.4514929805
P1_071N,2.0,214777.92878894758,301277.41926521074,1742.6226081344732,108260.27569854104,214777.92878894758,321295.58187935414,427813.2349697607
